department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,security_incidents
Compliance,Q3-2024,178,4643.33,0.816,0.836,5,49.4,0.304,0.673,1.52,3,0
Compliance,Q4-2023,178,4643.33,0.816,0.836,10,25.9,0.122,0.823,2.16,7,0
Compliance,Q4-2024,178,4643.33,0.816,0.836,5,25.1,0.144,0.618,2.25,4,0
Customer Support,Q1-2023,4069,5021.12,0.615,0.612,102,40.4,0.89,0.154,2.91,5,10
Customer Support,Q1-2024,4069,5021.12,0.615,0.844,123,50.5,0.218,0.771,2.5,6,0
Customer Support,Q2-2023,4069,5021.12,0.615,0.844,91,50.1,0.085,0.716,1.19,0,0
Customer Support,Q2-2024,4069,5021.12,0.615,0.844,98,50.7,0.341,0.777,3.39,3,0
Customer Support,Q3-2023,4069,5021.12,0.615,0.844,88,48.5,0.35,0.922,0.6,4,0
Customer Support,Q3-2024,4069,5021.12,0.615,0.844,91,20.3,0.139,0.768,1.44,3,0
Customer Support,Q4-2023,4069,5021.12,0.615,0.844,85,27.1,0.16,0.99,1.44,8,0
Customer Support,Q4-2024,4069,5021.12,0.615,0.543,109,24.2,0.88,0.112,2.22,9,13
Data Science,Q1-2023,210,4373.25,0.791,0.764,4,51.7,0.115,0.883,2.22,6,0
Data Science,Q1-2024,210,4373.25,0.791,0.764,11,45.7,0.052,0.637,1.12,8,0
Data Science,Q2-2023,210,4373.25,0.791,0.764,6,34.7,0.11,0.716,2.66,8,0
Data Science,Q2-2024,210,4373.25,0.791,0.764,8,63.3,0.27,0.691,2.28,8,0
Data Science,Q3-2023,210,4373.25,0.791,0.764,2,33.7,0.35,0.807,1.76,2,0
Data Science,Q3-2024,210,4373.25,0.791,0.764,7,52.4,0.191,0.731,1.56,4,0
Data Science,Q4-2023,210,4373.25,0.791,0.764,3,50.7,0.35,0.639,1.52,4,0
Data Science,Q4-2024,210,4373.25,0.791,0.764,2,49.2,0.121,0.757,1.7,7,0
DevOps,Q1-2023,984,4758.47,0.601,0.917,27,40.2,0.086,0.861,2.36,3,0
DevOps,Q1-2024,984,4758.47,0.601,0.917,31,50.2,0.115,0.582,1.37,9,0
DevOps,Q2-2023,984,4758.47,0.601,0.917,20,36.6,0.329,0.634,1.98,5,0
DevOps,Q2-2024,984,4758.47,0.601,0.917,23,26.9,0.35,0.669,1.86,8,0
DevOps,Q3-2023,984,4758.47,0.601,0.917,23,32.3,0.35,0.706,1.46,3,0
DevOps,Q3-2024,984,4758.47,0.601,0.917,32,26.1,1.236,0.688,2.35,2,0
DevOps,Q4-2023,984,4758.47,0.601,0.917,17,42.2,0.177,0.956,3.08,3,0
DevOps,Q4-2024,984,4758.47,0.601,0.917,24,32.6,0.11,0.728,2.18,1,0
E-commerce,Q1-2023,2203,4638.62,0.99,0.67,35,42.4,0.283,0.888,2.28,7,0
E-commerce,Q1-2024,2203,4638.62,0.99,0.67,52,31.9,0.24,0.707,3.01,11,0
E-commerce,Q2-2023,2203,4638.62,0.99,0.67,48,37.8,0.305,0.771,1.76,6,0
E-commerce,Q2-2024,2203,4638.62,0.99,0.67,52,62.6,0.304,,1.72,8,4
E-commerce,Q3-2023,2203,4638.62,0.99,0.67,65,66.4,0.147,0.514,1.37,7,0
E-commerce,Q3-2024,2203,4638.62,0.99,0.67,52,53,0.095,0.868,2.09,9,0
E-commerce,Q4-2023,2203,4638.62,0.99,0.67,54,28.1,0.171,0.681,3.03,3,0
E-commerce,Q4-2024,2203,4638.62,0.99,0.67,58,25.8,0.089,0.675,1.42,9,0
Engineering,Q1-2023,344,4322.77,0.61,0.813,11,55.1,0.304,0.626,3.09,9,0
Engineering,Q1-2024,344,4322.77,0.61,0.813,11,44.8,0.109,0.535,1.58,13,0
Engineering,Q2-2023,344,4322.77,0.61,0.813,2,50.4,0.35,0.739,2.04,1,0
Engineering,Q2-2024,344,4322.77,0.61,0.813,7,48.3,0.246,0.637,1.68,2,0
Engineering,Q3-2023,344,4322.77,0.61,0.813,N/A,58.1,0.35,0.67,1.23,5,0
Engineering,Q3-2024,344,4322.77,0.61,0.813,5,45,0.322,0.702,1.63,8,0
Engineering,Q4-2023,344,4322.77,0.61,0.813,6,28.9,1.462,0.663,2.08,5,0
Engineering,Q4-2024,344,4322.77,0.61,0.813,9,47.8,0.126,0.842,2.46,3,0
Facilities,Q1-2023,3569,4771.56,0.904,0.847,81,39.2,0.35,0.822,1.26,2,0
Facilities,Q1-2024,3569,4771.56,0.904,0.751,91,12.8,0.56,0.178,2.85,9,9
Facilities,Q2-2023,3569,4771.56,0.904,0.847,66,32.4,0.26,0.669,1.99,4,0
Facilities,Q2-2024,3569,4771.56,0.904,0.847,86,26.2,0.35,0.745,1.44,2,0
Facilities,Q3-2023,3569,4771.56,0.904,0.847,79,54.3,0.174,0.712,3.3,4,0
Facilities,Q3-2024,3569,4771.56,0.904,0.847,88,24,0.121,0.893,2.79,4,0
Facilities,Q4-2023,3569,4771.56,0.904,0.847,83,27.2,0.153,0.854,1.06,7,0
Facilities,Q4-2024,3569,4771.56,0.904,0.847,97,43.1,0.169,0.769,2.49,5,0
Field Services,Q1-2023,4210,5581.79,0.77,0.963,102,24.5,0.35,0.896,1.96,0,0
Field Services,Q1-2024,4210,5581.79,0.77,0.963,101,32.8,0.119,0.984,2.89,5,0
Field Services,Q2-2023,4210,5581.79,0.77,0.963,N/A,35,0.078,0.847,2.37,2,0
Field Services,Q2-2024,4210,5581.79,0.77,0.963,99,26.7,0.197,0.78,1.51,5,0
Field Services,Q3-2023,4210,5581.79,0.77,0.963,88,32.8,0.185,0.921,1.92,2,0
Field Services,Q3-2024,4210,5581.79,0.77,0.963,82,24.7,0.282,0.816,1.88,2,0
Field Services,Q4-2023,4210,5581.79,0.77,0.963,73,31.2,0.064,0.865,2.1,4,0
Field Services,Q4-2024,4210,5581.79,0.77,0.963,106,30.4,0.111,0.942,3.03,0,0
Finance,Q1-2023,2455,4432.82,0.84,0.97,63,49.1,0.35,0.765,3.39,8,0
Finance,Q1-2024,2455,4432.82,0.84,0.97,54,39.5,0.321,0.599,0.9,6,0
Finance,Q2-2023,2455,4432.82,0.84,0.97,66,48.4,0.109,0.767,2.15,8,0
Finance,Q2-2024,2455,4432.82,0.84,0.97,55,61.2,0.154,0.932,1.06,1,0
Finance,Q3-2023,2455,4432.82,0.84,0.97,52,57.9,0.225,0.601,2.7,0,0
Finance,Q3-2024,2455,4432.82,0.84,0.97,63,5.1,0.185,0.675,1.68,2,0
Finance,Q4-2023,2455,4432.82,0.84,0.97,45,26.6,0.054,0.696,1.58,5,0
Finance,Q4-2024,2455,4432.82,0.84,0.97,55,38.1,0.096,,1.48,2,0
HR,Q1-2023,2727,3918.2,0.666,0.801,81,51.6,0.082,0.706,2.02,2,0
HR,Q1-2024,2727,3918.2,0.666,0.801,65,59.9,0.179,0.702,2.56,9,0
HR,Q2-2023,2727,3918.2,0.666,0.801,53,49.1,0.25,0.686,2.3,5,0
HR,Q2-2024,2727,3918.2,0.666,0.801,65,54.8,0.107,,2.77,5,0
HR,Q3-2023,2727,3918.2,0.666,0.801,52,20.4,0.35,0.876,2.71,6,0
HR,Q3-2024,2727,3918.2,0.666,0.801,55,45.5,0.226,,1.93,5,0
HR,Q4-2023,2727,3918.2,0.666,0.801,49,63.6,0.188,0.728,2.23,3,0
HR,Q4-2024,2727,3918.2,0.666,0.801,57,40.1,0.101,,2.21,4,2
Internal Audit,Q1-2023,4272,4870.29,0.676,0.814,111,16.9,0.116,0.85,1.79,3,0
Internal Audit,Q1-2024,4272,4870.29,0.676,0.814,114,28.8,0.108,0.566,2.49,9,4
Internal Audit,Q2-2023,4272,4870.29,0.676,0.814,105,40.3,0.32,0.632,2.46,4,7
Internal Audit,Q2-2024,4272,4870.29,0.676,0.814,101,33.7,0.131,0.827,1.89,13,0
Internal Audit,Q3-2023,4272,4870.29,0.676,0.814,109,43.5,0.151,0.789,2.76,7,0
Internal Audit,Q3-2024,4272,4870.29,0.676,0.814,109,44.3,0.018,,3.18,6,2
Internal Audit,Q4-2023,4272,4870.29,0.676,0.814,102,49,0.08,0.808,1.97,7,0
Internal Audit,Q4-2024,4272,4870.29,0.676,0.814,128,47.3,0.167,0.602,1.66,5,0
Investor Relations,Q1-2023,912,4224.94,0.99,0.822,22,42.4,0.224,0.644,1.29,6,0
Investor Relations,Q1-2024,912,4224.94,0.99,0.822,21,46.4,0.35,0.85,0.79,5,0
Investor Relations,Q2-2023,912,4224.94,0.99,0.822,22,40.2,0.231,0.671,2.72,1,0
Investor Relations,Q2-2024,912,4224.94,0.99,0.822,23,48.9,0.075,0.628,2.25,11,0
Investor Relations,Q3-2023,912,4224.94,0.99,0.822,21,41.9,0.07,0.593,0.93,8,0
Investor Relations,Q3-2024,912,4224.94,0.99,0.822,22,32.3,0.057,0.514,1.1,9,0
Investor Relations,Q4-2023,912,4224.94,0.99,0.822,26,44.1,0.223,0.53,1.36,5,0
Investor Relations,Q4-2024,912,4224.94,0.99,0.822,25,27.2,0.32,0.799,1.49,3,0
IT,Q1-2023,1650,4206.87,0.925,0.86,30,52.3,0.317,0.723,2.23,1,0
IT,Q1-2024,1650,4206.87,0.925,0.86,33,37.6,0.35,0.888,2.17,9,0
IT,Q2-2023,1650,4206.87,0.925,0.86,44,48.6,0.301,0.866,1.6,1,0
IT,Q2-2024,1650,4206.87,0.925,0.86,30,46,0.278,0.856,1.78,2,0
IT,Q3-2023,1650,4206.87,0.925,0.86,26,38.2,1.251,,1.77,6,0
IT,Q3-2024,1650,4206.87,0.925,0.86,38,37.9,0.303,0.821,1.44,5,0
IT,Q4-2023,1650,4206.87,0.925,0.86,32,32.2,0.178,0.877,1.84,3,0
IT,Q4-2024,1650,4206.87,0.925,0.86,47,55.1,0.305,0.565,1.7,4,3
Legal,Q1-2023,4693,3446.45,0.82,0.844,101,46,0.35,0.833,0.68,9,0
Legal,Q1-2024,4693,3446.45,0.82,0.844,150,55.8,0.267,0.922,2.75,6,0
Legal,Q2-2023,4693,3446.45,0.82,0.844,110,42.8,0.35,0.755,1.87,4,1
Legal,Q2-2024,4693,3446.45,0.82,0.844,131,57.1,0.089,0.911,1.32,3,0
Legal,Q3-2023,4693,3446.45,0.82,0.844,136,37.9,0.231,0.766,1.57,8,2
Legal,Q3-2024,4693,3446.45,0.82,0.844,116,50.8,0.35,0.932,2.73,1,0
Legal,Q4-2023,4693,3446.45,0.82,0.844,89,36.7,0.138,0.911,1.6,4,0
Legal,Q4-2024,4693,3446.45,0.82,0.844,108,36.3,0.35,0.634,1.92,8,1
Logistics,Q1-2023,4198,4013.22,0.767,0.877,88,57.5,0.047,0.7,1.7,7,0
Logistics,Q1-2024,4198,4013.22,0.767,0.877,102,43.8,0.282,0.553,1.58,5,5
Logistics,Q2-2023,4198,4013.22,0.767,0.877,109,38.7,0.158,0.674,1.47,1,0
Logistics,Q2-2024,4198,4013.22,0.767,0.877,82,47.1,0.076,0.574,1.79,8,0
Logistics,Q3-2023,4198,4013.22,0.767,0.877,102,19.9,0.31,0.62,3.43,2,2
Logistics,Q3-2024,4198,4013.22,0.767,0.877,80,50.9,0.138,0.666,2.59,3,0
Logistics,Q4-2023,4198,4013.22,0.767,0.877,87,34.8,0.131,0.667,2.53,6,0
Logistics,Q4-2024,4198,4013.22,0.767,0.877,117,62.7,0.64,0.224,2.6,5,8
Marketing,Q1-2023,3162,4517.78,0.921,0.874,63,53.4,0.152,0.706,2.55,4,0
Marketing,Q1-2024,3162,4517.78,0.921,0.874,67,36.3,0.35,0.721,1.19,3,0
Marketing,Q2-2023,3162,4517.78,0.921,0.874,66,22.1,1.224,0.691,0.95,3,0
Marketing,Q2-2024,3162,4517.78,0.921,0.874,92,43.2,0.25,0.788,1.74,6,0
Marketing,Q3-2023,3162,4517.78,0.921,0.874,71,45.9,0.35,,1.77,4,0
Marketing,Q3-2024,3162,4517.78,0.921,0.874,54,52.5,0.159,0.69,2.01,3,0
Marketing,Q4-2023,3162,4517.78,0.921,0.874,63,57.8,0.251,0.737,1.87,6,0
Marketing,Q4-2024,3162,4517.78,0.921,0.874,64,31,0.115,0.624,2.22,6,0
Operations,Q1-2023,2074,4099.06,0.77,0.846,33,47.4,0.164,0.784,3.49,4,0
Operations,Q1-2024,2074,4099.06,0.77,0.846,34,41.3,0.254,0.7,2.85,8,0
Operations,Q2-2023,2074,4099.06,0.77,0.846,50,45.6,0.06,,1.47,4,0
Operations,Q2-2024,2074,4099.06,0.77,0.846,42,46.2,0.292,0.649,1.62,5,0
Operations,Q3-2023,2074,4099.06,0.77,0.846,39,46.6,0.35,0.663,2.26,1,0
Operations,Q3-2024,2074,4099.06,0.77,0.846,32,59.9,0.142,0.804,1.93,5,0
Operations,Q4-2023,2074,4099.06,0.77,0.846,37,44.9,0.235,0.809,1.76,3,0
Operations,Q4-2024,2074,4099.06,0.77,0.846,52,47.8,0.177,0.622,1.6,3,0
Procurement,Q1-2023,4008,4594.38,0.725,0.947,126,36.9,0.056,0.94,1.77,5,0
Procurement,Q1-2024,4008,4594.38,0.725,0.947,83,42.1,0.17,0.846,1.58,3,0
Procurement,Q2-2023,4008,4594.38,0.725,0.947,89,38.3,0.065,0.71,1.8,2,0
Procurement,Q2-2024,4008,4594.38,0.725,0.947,91,36.2,0.194,0.781,2.2,3,0
Procurement,Q3-2023,4008,4594.38,0.725,0.947,122,33.8,1.5499999999999998,0.911,1.97,4,0
Procurement,Q3-2024,4008,4594.38,0.725,0.947,94,22.9,0.085,0.82,2.33,4,0
Procurement,Q4-2023,4008,4594.38,0.725,0.947,90,31.9,0.35,0.94,1.41,3,0
Procurement,Q4-2024,4008,4594.38,0.725,0.947,85,39.4,0.039,0.668,1.11,6,0
Product,Q1-2023,958,3397.12,0.739,0.861,17,44.7,0.141,0.77,1.23,9,0
Product,Q1-2024,958,3397.12,0.739,0.861,14,60.3,0.314,0.82,0.92,6,0
Product,Q2-2023,958,3397.12,0.739,0.861,24,78.7,0.16,0.744,2.22,6,0
Product,Q2-2024,958,3397.12,0.739,0.861,23,50.4,0.058,0.83,0.93,3,0
Product,Q3-2023,958,3397.12,0.739,0.861,27,65,0.208,0.712,2.6,5,0
Product,Q3-2024,958,3397.12,0.739,0.861,22,41.3,0.183,0.506,2.73,4,0
Product,Q4-2023,958,3397.12,0.739,0.861,19,47.3,0.208,,2.87,9,0
Product,Q4-2024,958,3397.12,0.739,0.861,23,55.4,0.35,0.67,2.44,5,0
Public Relations,Q1-2023,3651,5082.22,0.831,0.945,86,41.7,0.093,0.896,2.28,2,0
Public Relations,Q1-2024,3651,5082.22,0.831,0.945,86,33.4,0.35,0.543,2.77,2,4
Public Relations,Q2-2023,3651,5082.22,0.831,0.945,80,23,0.208,0.988,2.17,1,0
Public Relations,Q2-2024,3651,5082.22,0.831,0.945,98,34,0.227,0.856,1.81,2,0
Public Relations,Q3-2023,3651,5082.22,0.831,0.945,125,31.8,0.122,0.757,2.62,2,0
Public Relations,Q3-2024,3651,5082.22,0.831,0.945,N/A,35.4,0.35,0.887,2.34,4,0
Public Relations,Q4-2023,3651,5082.22,0.831,0.945,106,26.7,0.35,0.785,1.94,3,0
Public Relations,Q4-2024,3651,5082.22,0.831,0.945,78,27.6,0.35,0.586,1.07,3,0
Quality Assurance,Q1-2023,252,5071.96,0.848,0.965,4,35.4,0.147,0.86,2.71,8,0
Quality Assurance,Q1-2024,252,5071.96,0.848,0.965,5,20.6,0.029,0.721,1.3,5,0
Quality Assurance,Q2-2023,252,5071.96,0.848,0.965,N/A,26.3,0.059,0.704,2.27,3,0
Quality Assurance,Q2-2024,252,5071.96,0.848,0.965,7,30.6,0.35,0.891,1.56,3,0
Quality Assurance,Q3-2023,252,5071.96,0.848,0.965,6,44.1,0.11,0.73,3.01,8,0
Quality Assurance,Q3-2024,252,5071.96,0.848,0.965,3,44.5,0.064,0.921,2.69,1,0
Quality Assurance,Q4-2023,252,5071.96,0.848,0.965,3,20.4,0.016,0.796,2.86,2,0
Quality Assurance,Q4-2024,252,5071.96,0.848,0.965,4,64.8,0.336,0.711,1.72,2,0
R&D,Q1-2023,4073,4383.45,0.759,0.886,127,21.8,0.079,0.731,1.67,2,0
R&D,Q1-2024,4073,4383.45,0.759,0.886,121,49.7,0.292,0.559,1.09,6,1
R&D,Q2-2023,4073,4383.45,0.759,0.886,113,58.4,0.175,0.663,1.94,6,0
R&D,Q2-2024,4073,4383.45,0.759,0.886,108,22.3,0.209,0.801,1.36,1,0
R&D,Q3-2023,4073,4383.45,0.759,0.886,102,60.1,0.222,0.8,1.59,2,2
R&D,Q3-2024,4073,4383.45,0.759,0.886,81,45.8,0.038,0.596,3.16,6,0
R&D,Q4-2023,4073,4383.45,0.759,0.886,100,47.8,0.14,0.814,1.77,6,0
R&D,Q4-2024,4073,4383.45,0.759,0.886,105,43.5,0.138,0.603,1.14,5,0
Risk Management,Q1-2023,4237,3348.25,0.647,0.89,107,48.8,0.35,0.473,2.75,0,5
Risk Management,Q1-2024,4237,3348.25,0.647,0.89,71,53,0.225,,2.07,2,0
Risk Management,Q2-2023,4237,3348.25,0.647,0.89,N/A,53.2,0.35,0.636,1.94,4,0
Risk Management,Q2-2024,4237,3348.25,0.647,0.89,92,35.5,1.388,,2.03,4,0
Risk Management,Q3-2023,4237,3348.25,0.647,0.89,134,57.8,0.138,0.663,2.27,3,0
Risk Management,Q3-2024,4237,3348.25,0.647,0.89,94,54.7,0.148,0.408,1.4,2,3
Risk Management,Q4-2023,4237,3348.25,0.647,0.89,90,62.6,0.176,0.558,2.21,1,3
Risk Management,Q4-2024,4237,3348.25,0.647,0.89,95,46.4,0.119,,1.35,0,0
Sales,Q1-2023,25000,4739,0.99,0.661,144,50.5,0.78,0.093,1.45,3,12
Sales,Q1-2024,4730,4739,0.747,0.749,116,44.6,0.199,0.74,1.6,9,0
Sales,Q2-2023,4730,4739,0.747,0.749,132,46,0.04,0.908,1.61,7,2
Sales,Q2-2024,4730,4739,0.747,0.749,96,47,0.186,0.611,1,5,4
Sales,Q3-2023,4730,4739,0.747,0.749,128,30.3,0.209,0.835,2.83,5,3
Sales,Q3-2024,4730,4739,0.747,0.749,133,57.8,0.228,0.453,2.2,8,5
Sales,Q4-2023,4730,4739,0.747,0.749,117,39.1,0.142,0.662,2.93,6,4
Sales,Q4-2024,4730,4739,0.747,0.749,115,61.5,0.09,0.789,2,10,0
Security,Q1-2023,1104,3698.72,0.822,0.874,28,46.9,0.35,0.712,2.76,11,0
Security,Q1-2024,1104,3698.72,0.822,0.874,31,46,0.099,0.66,2.54,3,0
Security,Q2-2023,1104,3698.72,0.822,0.874,24,55.5,0.172,0.676,2.86,4,0
Security,Q2-2024,1104,3698.72,0.822,0.874,18,35,0.074,0.744,1.59,2,0
Security,Q3-2023,1104,3698.72,0.822,0.874,27,33.3,0.217,0.73,2.63,4,0
Security,Q3-2024,1104,3698.72,0.822,0.874,30,52.9,0.04,0.797,1.61,5,0
Security,Q4-2023,1104,3698.72,0.822,0.874,32,47.1,0.069,0.788,1.2,8,0
Security,Q4-2024,1104,3698.72,0.822,0.874,14,44.3,0.35,,2.13,6,0
Supply Chain,Q1-2023,2251,3996.7,0.907,0.841,69,65.2,0.219,0.771,2.07,1,0
Supply Chain,Q1-2024,2251,3996.7,0.907,0.841,45,42.3,0.082,0.726,1.86,7,0
Supply Chain,Q2-2023,2251,3996.7,0.907,0.841,51,40.7,0.021,0.615,1.85,5,0
Supply Chain,Q2-2024,2251,3996.7,0.907,0.841,75,33.9,0.1,0.529,1.56,5,0
Supply Chain,Q3-2023,2251,3996.7,0.907,0.841,44,42.3,0.221,0.88,1.63,4,0
Supply Chain,Q3-2024,2251,3996.7,0.907,0.841,52,54.6,0.35,0.672,1.13,3,0
Supply Chain,Q4-2023,2251,3996.7,0.907,0.841,49,45.1,0.309,0.772,1.81,4,0
Supply Chain,Q4-2024,2251,3996.7,0.907,0.841,58,33.6,0.127,0.893,0.94,3,0
Training,Q1-2023,2065,4122.88,0.754,0.753,50,34.7,0.067,0.652,2.31,5,0
Training,Q1-2024,2065,4122.88,0.754,0.753,62,50.7,0.08,0.736,0.79,3,0
Training,Q2-2023,2065,4122.88,0.754,0.753,56,51.3,0.35,0.738,1.14,3,3
Training,Q2-2024,2065,4122.88,0.754,0.753,60,53.8,0.23,0.717,2.17,8,0
Training,Q3-2023,2065,4122.88,0.754,0.753,46,55,0.35,0.721,1.84,6,2
Training,Q3-2024,2065,4122.88,0.754,0.753,35,58.2,0.197,0.704,2.7,5,0
Training,Q4-2023,2065,4122.88,0.754,0.753,57,57.1,0.292,0.691,1.72,4,0
Training,Q4-2024,2065,4122.88,0.754,0.753,46,67,0.42,0.555,3.13,4,7
