department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,vuln_x_endpoint_gap,security_incidents
Compliance,Q4-2023,2714,4406.46,0.86,0.707,42,41.0,0.231,0.575,1.93,4,12.309,0
Operations,Q3-2024,545,5531.93,0.808,0.741,10,44.3,0.158,0.72,2.56,6,2.585,0
Field Services,Q3-2024,2002,5093.62,0.832,0.647,34,35.2,0.177,0.755,2.88,5,11.998,0
Clinical Operations,Q2-2023,4617,4396.95,0.81,0.808,90,53.6,0.428,0.732,2.56,2,17.244,0
Training,Q2-2023,2422,5408.59,0.824,0.737,39,55.1,0.068,0.894,2.43,5,10.238,0
Internal Audit,Q3-2023,1581,4250.12,0.85,0.683,35,53.2,0.257,0.633,2.65,2,11.101,0
Logistics,Q1-2024,2202,5473.67,1.0,0.916,32,35.3,0.413,0.768,2.2,2,2.678,0
Investor Relations,Q4-2023,732,3597.49,0.704,0.636,11,52.2,0.097,0.541,2.51,5,4.007,0
Public Relations,Q3-2023,3709,5039.2,0.853,0.699,70,58.3,0.182,0.848,0.96,4,21.075,0
Field Services,Q4-2024,749,2583.96,1.0,0.8,18,50.1,0.313,,1.72,4,3.6,0
Engineering,Q3-2024,732,5040.86,0.672,0.819,10,29.5,0.064,0.74,1.57,5,1.807,0
DevOps,Q1-2024,1958,4918.09,0.853,0.79,33,42.8,0.166,0.702,2.15,4,6.918,0
Public Relations,Q2-2023,1251,4144.3,0.491,1.0,14,34.8,0.405,0.535,2.52,4,0.0,0
Finance,Q1-2024,788,3937.54,0.816,0.793,14,44.8,0.115,0.743,1.58,2,2.904,0
Procurement,Q4-2023,3036,3972.88,0.664,0.767,55,55.1,0.165,0.816,2.94,1,12.799,0
Operations,Q4-2023,2332,5129.14,0.969,0.879,38,31.3,1.4180000000000001,0.714,1.77,3,4.603,0
Operations,Q2-2024,2186,4600.76,0.611,0.885,31,30.3,0.491,0.795,2.26,7,3.572,0
Compliance,Q3-2023,1471,4524.05,0.671,0.784,26,48.3,0.508,0.798,1.72,4,5.605,0
Accounting,Q1-2023,1700,3963.96,0.839,0.851,32,43.2,0.161,0.75,2.13,5,4.758,0
DevOps,Q3-2024,719,4603.56,0.581,0.81,9,33.3,0.287,0.731,2.51,3,1.71,0
R&D,Q1-2023,4228,5308.29,0.578,0.784,61,39.9,0.144,,2.41,2,13.161,0
Quality Assurance,Q4-2023,3400,3962.09,0.792,0.869,47,39.5,0.085,0.616,1.77,3,6.153,0
Field Services,Q2-2023,410,5363.03,0.834,0.903,6,30.7,0.044,0.918,1.77,3,0.582,0
Internal Audit,Q3-2024,1434,5356.77,0.89,0.818,27,32.6,0.437,0.742,1.95,3,4.913,0
Product,Q3-2024,2840,4806.49,0.846,0.753,46,37.0,0.11,0.74,2.11,2,11.376,0
Business Development,Q3-2024,3326,4886.18,0.699,0.812,56,40.4,0.258,0.581,2.39,9,10.509,0
Investor Relations,Q1-2023,1015,3990.78,0.592,0.893,30,33.2,0.269,0.555,2.65,2,3.198,0
Product,Q1-2024,2886,3541.5,0.788,0.892,49,43.0,0.099,0.624,2.14,2,5.306,0
Accounting,Q2-2024,574,3922.55,0.668,0.871,N/A,35.4,0.079,0.585,1.61,5,0.772,0
Clinical Operations,Q4-2023,2450,5546.31,0.737,0.952,59,34.2,0.079,,1.7,2,2.854,0
Facilities,Q1-2023,457,2997.34,0.692,0.728,2,47.8,0.243,0.519,1.58,3,0.545,0
Logistics,Q3-2023,3026,5072.07,0.91,0.844,64,40.7,0.287,0.789,2.34,5,9.999,0
Security,Q1-2024,376,3834.24,0.728,0.966,6,38.5,0.3,0.787,2.34,3,0.205,0
Legal,Q2-2023,4022,4327.22,0.856,0.794,80,44.2,0.184,0.704,2.1,3,16.496,0
Field Services,Q1-2024,270,4312.32,0.993,0.838,3,37.3,0.154,0.888,2.12,9,0.485,0
IT,Q1-2024,1220,5833.87,0.627,0.864,16,32.5,0.201,0.919,2.1,4,2.175,0
Supply Chain,Q3-2023,4518,5864.2,0.963,0.815,83,22.2,0.084,,2.25,2,15.314,0
Security,Q2-2024,390,5557.27,0.877,0.774,2,36.3,0.179,0.797,1.35,4,0.452,0
Quality Assurance,Q2-2023,3201,4502.91,0.691,0.883,60,41.4,0.224,0.596,2.43,3,7.012,0
Accounting,Q3-2024,2186,4514.88,0.905,0.772,34,35.5,0.156,0.846,1.28,3,7.753,0
Facilities,Q4-2024,1057,4497.46,0.676,0.759,24,51.2,0.289,0.776,2.34,1,5.785,0
HR,Q3-2023,701,4053.26,0.818,0.918,5,29.0,0.126,,2.03,6,0.409,0
Compliance,Q4-2024,372,3874.53,0.731,0.879,6,40.9,0.266,0.822,1.08,3,0.725,0
Security,Q1-2023,1546,3692.88,0.877,0.677,32,62.7,0.339,0.659,2.05,5,10.34,0
Marketing,Q2-2023,4926,3674.08,0.862,0.986,78,36.5,0.152,0.76,2.65,4,1.085,0
Internal Audit,Q4-2024,2006,3386.18,0.793,0.824,37,69.6,0.19,0.666,1.15,2,6.503,0
Sales,Q3-2024,3649,3776.77,0.901,0.813,59,49.0,0.196,0.659,1.26,3,11.043,0
Public Relations,Q4-2024,4284,4068.1,0.773,0.753,74,41.0,0.242,0.748,1.52,7,18.281,0
Product,Q1-2023,1576,4660.23,0.818,0.78,31,57.7,0.209,0.582,3.01,2,6.819,0
Operations,Q1-2023,466,2969.74,0.718,0.766,10,69.7,0.073,0.538,3.03,4,2.34,0
Public Relations,Q2-2024,4543,3944.18,0.909,0.955,68,35.3,0.306,0.567,1.94,0,3.075,0
Quality Assurance,Q3-2024,819,4615.02,0.753,0.835,15,27.6,0.207,0.843,1.87,2,2.478,0
Investor Relations,Q3-2024,1371,5181.38,0.743,0.914,17,37.1,0.128,0.751,2.14,0,1.466,0
Engineering,Q4-2024,1316,4468.68,0.589,0.838,21,38.7,0.383,0.646,1.79,2,3.396,0
Legal,Q1-2023,2329,4859.64,0.723,0.772,40,39.4,0.447,0.759,3.14,3,9.12,0
Security,Q2-2023,2519,3513.92,0.606,0.754,36,47.0,0.075,0.609,0.64,4,8.844,0
Public Relations,Q4-2023,1516,3631.68,0.916,0.889,23,53.8,0.266,0.615,1.71,2,2.553,0
Sales,Q2-2023,5596,5013.77,0.756,0.722,98,38.8,0.247,0.696,1.67,8,27.269,0
Procurement,Q3-2024,2268,4426.7,0.701,0.86,43,37.1,0.458,0.681,2.72,2,6.0,0
Clinical Operations,Q1-2024,5637,3892.74,0.739,0.858,82,57.8,0.435,0.755,2.01,5,11.663,0
Product,Q2-2024,2635,4875.22,0.878,0.843,39,48.8,0.519,0.737,1.6,6,6.136,0
R&D,Q2-2024,3727,3230.92,0.664,0.725,63,64.6,1.266,,1.92,2,17.337,0
Engineering,Q1-2023,986,5065.57,0.835,0.913,14,25.8,0.22,0.791,1.88,2,1.221,0
Quality Assurance,Q4-2024,4053,5960.4,0.719,0.699,66,19.2,0.237,1.0,2.61,10,19.889,0
Risk Management,Q1-2024,4884,4346.45,0.723,0.82,92,37.1,0.293,0.714,2.56,3,16.596,0
Accounting,Q1-2024,469,4955.11,0.866,0.791,4,40.1,0.352,0.71,2.62,4,0.837,0
Clinical Operations,Q3-2024,3986,2746.48,0.827,0.815,66,55.9,0.203,0.495,2.45,2,12.188,0
Finance,Q4-2024,431,3498.16,0.639,0.921,6,50.4,0.055,0.633,2.52,2,0.471,0
HR,Q2-2023,2327,4444.85,0.782,0.785,27,35.2,0.249,0.801,1.34,2,5.806,0
Customer Support,Q2-2024,4578,3556.51,1.0,0.808,71,40.0,0.179,0.558,2.44,4,13.609,0
IT,Q1-2023,850,5126.2,0.873,0.752,15,47.1,0.296,0.85,1.2,8,3.727,0
DevOps,Q4-2023,4492,4349.48,0.666,0.761,72,56.8,0.275,0.705,2.6,2,17.193,0
Clinical Operations,Q4-2024,2594,3531.6,0.673,0.841,44,44.0,0.172,0.599,2.34,3,6.989,0
Quality Assurance,Q2-2024,2874,4730.44,0.855,0.727,38,60.2,0.333,0.583,2.2,2,10.363,0
Engineering,Q4-2023,2344,5498.58,0.777,0.813,36,31.9,0.347,0.707,1.92,2,6.725,0
Customer Support,Q4-2023,2107,3928.7,0.698,0.775,27,48.7,0.084,0.736,1.64,1,6.07,0
Internal Audit,Q4-2023,594,5701.21,0.828,0.848,5,23.9,0.177,0.797,2.33,3,0.761,0
Finance,Q4-2023,4530,4269.23,0.701,0.88,69,37.4,0.401,0.614,2.47,3,8.264,0
Facilities,Q4-2023,2829,4534.01,0.685,0.818,56,29.3,0.102,0.718,1.79,2,10.214,0
Data Science,Q3-2023,478,4394.56,0.89,0.765,7,59.7,0.306,0.758,2.0,3,1.642,0
Public Relations,Q1-2023,922,5320.46,0.796,0.896,17,27.3,0.173,0.872,1.56,1,1.773,0
R&D,Q1-2024,4271,4134.46,0.84,0.818,83,40.8,0.149,0.663,2.3,5,15.136,0
DevOps,Q1-2023,5153,5363.75,0.784,0.883,73,31.6,0.159,0.735,2.09,2,8.532,0
Legal,Q4-2023,2723,4745.57,0.716,0.907,52,28.8,0.125,0.729,2.34,1,4.837,0
Supply Chain,Q2-2023,1079,5805.53,0.914,0.805,21,31.4,0.117,0.846,1.68,2,4.089,0
Quality Assurance,Q1-2023,3144,4629.44,0.616,0.818,51,48.6,0.094,0.806,2.25,3,9.273,0
Procurement,Q2-2023,3942,3786.51,0.941,0.812,70,53.0,1.141,0.562,1.84,5,13.184,0
IT,Q4-2024,910,3754.43,0.709,0.951,20,35.7,0.218,,1.82,2,0.971,0
Clinical Operations,Q1-2023,4698,3738.73,0.835,0.678,89,63.6,0.197,0.452,3.0,5,28.628,0
Finance,Q1-2023,810,4302.36,0.779,0.758,11,35.6,0.149,0.71,2.52,4,2.657,0
IT,Q2-2024,1553,5077.19,0.692,0.733,28,48.2,0.321,0.802,2.64,3,7.463,0
Operations,Q3-2023,1779,3869.71,0.723,0.718,32,81.9,0.154,0.67,2.53,4,9.014,0
Marketing,Q4-2024,2825,4516.73,0.853,0.617,38,57.5,0.16,0.815,2.22,4,14.536,0
Legal,Q1-2024,2182,4713.94,0.789,0.802,35,49.6,0.103,0.713,2.35,7,6.943,0
Risk Management,Q3-2023,3760,4766.73,0.822,0.823,58,46.9,0.289,0.719,2.39,2,10.26,0
Compliance,Q3-2024,1195,5641.5,0.82,0.935,32,35.0,0.413,0.723,2.44,4,2.085,0
Engineering,Q1-2024,2312,4780.08,0.766,0.718,38,53.1,1.2630000000000001,0.824,2.14,3,10.714,0
Investor Relations,Q3-2023,871,3998.92,0.62,0.895,11,51.5,0.132,0.778,2.36,5,1.154,0
Investor Relations,Q2-2024,1412,4244.81,0.668,0.819,27,57.9,0.236,0.621,1.82,4,4.897,0
Product,Q2-2023,850,3766.46,0.74,0.649,17,50.7,0.211,,2.58,4,5.969,0
Security,Q4-2023,1050,3318.71,0.77,0.768,11,68.7,0.124,0.727,2.18,8,2.547,0
Procurement,Q1-2024,1810,3830.28,0.699,0.711,20,66.8,0.33,0.582,2.24,8,5.775,0
Operations,Q1-2024,2661,4005.63,0.818,0.939,41,42.6,0.054,0.703,1.83,1,2.509,0
Logistics,Q3-2024,5185,4977.19,0.789,0.759,99,47.2,0.096,0.818,1.22,3,23.874,0
Customer Support,Q3-2023,3303,4525.18,0.819,1.0,59,38.8,0.075,0.79,2.18,4,0.0,0
Business Development,Q2-2024,987,4247.63,0.926,0.982,15,38.7,0.157,,1.93,2,0.269,0
HR,Q1-2023,525,3648.25,0.815,0.768,9,64.1,0.173,0.531,1.1,4,2.088,0
DevOps,Q3-2023,1295,4975.87,0.814,0.79,N/A,59.0,0.163,0.751,0.92,4,6.103,0
Procurement,Q2-2024,1161,5623.86,0.794,0.955,28,21.8,0.23,0.665,2.81,2,1.264,0
Customer Support,Q1-2023,1374,4277.46,0.807,0.746,20,47.8,0.107,0.756,2.23,4,5.078,0
Field Services,Q3-2023,1827,4967.64,0.846,0.831,23,49.3,0.064,0.701,1.71,2,3.884,0
Finance,Q3-2023,709,4903.65,0.798,0.909,7,28.9,0.223,0.791,2.0,2,0.635,0
Training,Q3-2024,1810,4760.56,0.714,0.801,40,47.0,0.186,0.763,2.02,5,7.975,0
Supply Chain,Q4-2024,3957,5530.91,0.872,0.917,80,38.1,0.091,0.866,2.03,7,6.601,0
Data Science,Q1-2023,1092,3841.36,0.634,0.767,20,39.1,0.27,0.625,1.91,2,4.654,0
Compliance,Q1-2024,3012,4611.78,0.85,0.861,48,23.0,0.297,0.802,1.85,3,6.667,0
Finance,Q3-2024,2636,6802.7,0.856,0.869,51,28.2,0.124,0.861,1.8,4,6.674,0
Finance,Q2-2023,1604,4160.24,0.684,0.879,22,46.3,0.051,0.675,1.74,2,2.662,0
Supply Chain,Q3-2024,3897,5116.57,0.731,0.886,58,12.5,0.102,0.862,2.44,3,6.628,0
Logistics,Q1-2023,1226,4237.55,0.979,0.814,16,60.1,0.071,,1.65,5,2.983,0
Investor Relations,Q1-2024,2731,2702.48,0.744,0.746,41,45.1,0.553,0.432,2.7,8,10.423,6
Facilities,Q2-2024,308,3775.43,0.866,0.81,8,56.5,0.242,0.594,2.62,3,1.516,0
HR,Q2-2024,1118,3986.03,0.882,0.735,19,56.7,0.392,0.552,1.56,4,5.035,0
Marketing,Q2-2024,941,3479.86,0.806,0.741,16,47.2,0.237,0.637,2.14,4,4.149,0
Data Science,Q2-2023,3720,4849.4,0.813,0.863,50,48.6,0.126,0.775,1.85,5,6.84,0
Risk Management,Q1-2023,5028,5132.06,0.729,0.874,81,52.2,0.187,0.693,2.27,2,10.219,0
Risk Management,Q3-2024,1273,5069.39,0.638,0.93,21,37.2,0.099,0.659,2.4,0,1.476,0
Supply Chain,Q1-2023,4095,4268.54,0.797,0.855,66,45.4,0.092,0.694,1.23,2,9.566,0
IT,Q3-2023,4490,5201.69,0.723,0.923,58,33.1,0.126,0.906,2.18,4,4.482,0
Facilities,Q3-2024,1123,4350.95,0.836,0.784,25,44.0,0.135,0.696,2.11,3,5.393,0
DevOps,Q4-2024,3623,4415.81,0.728,0.761,51,38.0,0.137,0.865,1.97,2,12.166,0
E-commerce,Q4-2024,2584,4221.45,0.791,0.717,40,45.7,0.117,0.664,2.59,5,11.315,0
Quality Assurance,Q1-2024,2135,4288.67,0.752,0.745,33,32.6,0.316,0.617,2.99,7,8.415,0
Facilities,Q1-2024,2616,5099.35,0.817,0.874,43,15.4,0.16,0.778,2.3,3,5.433,0
Business Development,Q4-2024,4617,4812.64,0.779,0.789,72,36.3,0.402,0.767,2.42,4,15.221,0
Supply Chain,Q4-2023,4959,5761.03,0.823,0.954,74,38.7,0.112,0.934,1.53,0,3.401,0
Procurement,Q4-2024,2398,4810.34,0.769,0.875,41,38.9,0.24,0.717,2.12,1,5.112,0
Marketing,Q1-2023,4673,5603.35,0.863,0.863,87,32.2,0.106,0.86,2.22,4,11.959,0
Risk Management,Q2-2023,3799,4405.18,1.0,0.755,61,53.0,0.241,0.787,2.07,1,14.916,0
Field Services,Q2-2024,2716,4581.15,0.85,0.661,51,40.3,0.241,0.752,2.28,6,17.273,0
Compliance,Q2-2023,3225,5940.99,0.883,0.921,63,35.3,1.268,1.0,2.11,2,4.957,0
Internal Audit,Q2-2023,462,5508.4,0.962,0.922,8,34.3,0.114,,2.54,2,0.624,0
Operations,Q4-2024,2256,4777.49,0.971,0.858,40,43.8,0.29,0.74,2.57,1,5.667,0
E-commerce,Q3-2023,331,4092.6,0.835,0.885,5,55.5,0.238,0.637,1.03,1,0.576,0
Public Relations,Q3-2024,4109,2957.17,0.716,0.875,68,62.1,0.271,0.49,2.2,1,8.505,0
Marketing,Q4-2023,2783,5172.51,0.823,1.0,42,24.0,0.11,0.936,1.74,1,0.0,0
Field Services,Q1-2023,1289,4227.83,0.834,0.851,28,30.6,0.127,0.556,1.0,3,4.161,0
HR,Q4-2023,2226,4391.87,0.558,0.785,30,44.0,0.391,0.771,1.78,6,6.453,0
R&D,Q4-2024,1144,3710.3,0.612,0.699,21,62.9,0.419,0.58,1.87,4,6.311,0
Data Science,Q2-2024,3780,4084.69,0.682,0.715,56,38.7,0.273,0.742,2.1,2,15.963,0
