department,quarter,org_size,it_budget_per_emp,mfa_coverage,endpoint_coverage,vuln_count,mean_time_to_patch,phishing_sim_click_rate,training_completion_rate,login_failures_per_user,cloud_misconfig_count,vuln_x_endpoint_gap,security_incidents
Accounting,Q4-2023,2330,4263.58,0.75,0.77,39,48.9,0.314,0.847,1.94,5,8.976,0
Business Development,Q2-2023,5621,4749.23,0.779,0.825,104,35.5,0.158,0.672,2.07,2,18.252,0
HR,Q2-2023,436,4675.94,0.593,0.761,6,58.5,0.463,0.815,2.64,5,1.433,0
Security,Q3-2023,2281,3468.26,0.752,0.643,55,55.3,0.16,0.721,1.54,7,19.627,0
IT,Q3-2023,1233,4252.56,0.699,0.943,17,37.7,0.682,0.617,2.09,4,0.961,0
Training,Q2-2023,1765,4177.39,0.661,0.858,30,44.3,0.222,0.726,2.28,4,4.253,0
Field Services,Q1-2024,534,3778.26,0.767,0.794,11,57.9,0.253,0.649,2.24,4,2.261,0
Quality Assurance,Q2-2023,1366,4508.79,0.756,0.889,22,46.5,0.383,0.774,1.67,6,2.44,0
HR,Q1-2023,989,3531.37,0.714,0.776,23,52.4,0.226,0.545,2.91,3,5.156,0
Public Relations,Q3-2023,4106,4102.04,0.799,0.832,81,52.8,0.069,0.703,2.54,6,13.625,0
Compliance,Q2-2023,690,4711.12,0.682,0.706,15,36.6,0.108,0.921,2.31,5,4.41,0
R&D,Q3-2024,2238,5231.29,0.849,0.781,27,46.8,0.25,0.635,1.74,1,5.901,0
DevOps,Q1-2024,733,3947.02,0.813,0.737,11,39.1,0.174,0.711,2.32,5,2.892,0
Training,Q1-2024,2282,4034.29,0.853,0.888,39,39.0,0.286,0.572,2.02,2,4.381,0
Quality Assurance,Q2-2024,701,4199.18,0.876,0.674,10,42.3,0.11,0.8,1.68,8,3.256,0
Clinical Operations,Q3-2023,1428,4280.82,0.775,0.891,23,37.1,0.303,0.718,2.35,4,2.514,0
Internal Audit,Q2-2024,2557,3897.5,0.488,0.751,53,45.3,0.241,0.774,2.31,6,13.207,0
HR,Q1-2024,638,3531.31,0.787,0.706,7,54.4,0.182,0.675,1.99,2,2.056,0
Supply Chain,Q1-2024,5214,4934.73,0.903,0.741,88,33.0,0.085,0.974,1.82,1,22.755,0
Investor Relations,Q2-2024,2657,4889.02,0.847,0.802,51,44.8,0.059,0.599,1.65,2,10.111,0
E-commerce,Q1-2023,1593,3932.72,0.846,0.838,30,41.0,0.185,0.67,2.44,3,4.85,0
Logistics,Q2-2023,2754,3847.46,0.786,0.829,37,61.7,0.181,0.705,1.8,12,6.322,0
Engineering,Q3-2024,465,4563.14,0.83,0.842,9,46.9,0.451,0.514,1.94,2,1.42,0
Operations,Q2-2023,2095,4184.06,0.681,0.682,27,40.4,0.233,0.732,1.54,6,8.573,0
E-commerce,Q3-2023,487,3973.73,0.465,0.921,10,47.2,0.106,0.842,2.89,1,0.79,0
Investor Relations,Q1-2024,1436,3775.73,0.872,0.806,21,54.6,0.115,0.694,2.04,6,4.082,0
Accounting,Q2-2023,729,3587.52,0.7,0.64,12,51.2,0.165,0.672,1.7,6,4.325,0
Security,Q4-2023,1644,4248.11,0.77,0.735,30,59.0,0.107,0.691,2.25,9,7.946,0
Public Relations,Q4-2024,3358,3851.06,0.699,0.846,64,39.8,0.296,0.604,1.96,4,9.858,0
Product,Q1-2023,2812,3733.37,0.771,0.661,53,52.4,0.177,0.653,2.58,2,17.982,0
Clinical Operations,Q2-2023,993,5489.42,0.816,0.898,12,37.6,0.117,0.883,1.7,0,1.222,0
Operations,Q4-2024,2482,4393.24,0.883,0.871,37,53.8,0.249,0.696,1.83,6,4.774,0
Sales,Q1-2023,3227,4138.63,0.74,0.796,69,62.4,0.197,0.646,2.28,2,14.08,0
Field Services,Q4-2024,1107,4650.53,0.86,0.774,17,41.5,0.229,0.857,2.15,3,3.841,0
Training,Q4-2023,390,4515.35,0.89,0.905,8,39.4,0.336,0.817,1.13,2,0.762,0
Quality Assurance,Q1-2023,2196,4400.49,0.847,0.84,30,36.4,0.268,0.853,2.37,6,4.786,0
Finance,Q4-2024,2822,3066.21,0.746,0.836,55,44.9,0.193,0.54,2.5,2,9.039,0
IT,Q2-2024,3819,4105.5,0.853,0.753,60,35.4,0.316,0.727,2.24,4,14.848,0
Marketing,Q1-2024,5117,5716.49,0.765,0.756,69,33.5,0.564,0.834,1.49,7,16.82,0
DevOps,Q4-2023,994,5381.6,0.693,0.906,17,34.0,0.356,0.798,2.64,4,1.595,0
Marketing,Q2-2023,1678,4557.05,0.758,0.99,29,37.9,0.167,0.681,3.16,2,0.304,0
Internal Audit,Q2-2023,2281,3894.65,0.737,0.74,35,59.5,0.275,0.739,2.19,5,9.101,0
Engineering,Q2-2024,988,4717.45,0.829,0.801,22,47.9,0.11,0.766,2.51,10,4.383,0
Field Services,Q2-2023,870,5607.15,0.752,1.0,19,27.8,0.171,0.954,1.23,3,0.0,0
Legal,Q3-2024,3663,5121.85,0.71,0.922,76,31.2,0.2,0.791,2.29,5,5.924,0
Field Services,Q2-2024,2053,5532.47,0.826,0.902,44,24.6,0.179,0.9,2.07,3,4.306,0
Internal Audit,Q1-2023,2063,4678.63,0.87,0.755,24,51.3,0.377,0.613,2.35,5,5.883,0
Logistics,Q2-2024,6176,4804.22,0.906,0.799,126,49.5,0.037,0.706,1.1,3,25.267,0
Training,Q3-2024,1725,4613.99,0.667,0.783,22,27.0,0.339,0.651,2.05,9,4.772,0
Marketing,Q3-2023,3845,4646.03,0.598,0.808,73,62.1,0.383,0.629,2.35,2,13.982,0
Clinical Operations,Q4-2024,2019,5548.93,0.612,1.0,25,19.4,0.102,0.86,2.03,0,0.0,0
Public Relations,Q4-2023,3725,4184.6,0.866,0.853,69,55.6,0.279,0.71,1.99,3,10.155,0
HR,Q4-2023,1987,5529.73,0.973,1.0,29,50.0,0.373,0.901,1.51,4,0.0,0
Training,Q4-2024,2038,2855.97,0.692,0.818,24,56.2,0.163,0.661,1.86,4,4.362,0
Legal,Q1-2024,3444,5356.76,0.823,0.857,46,35.0,0.088,0.779,2.31,2,6.6,0
Accounting,Q4-2024,957,4521.57,0.905,0.983,16,63.7,0.12,0.754,1.97,2,0.268,0
Security,Q2-2024,1104,4109.8,0.932,1.0,17,34.4,0.267,0.822,1.55,1,0.0,0
E-commerce,Q4-2023,509,4950.87,0.722,0.809,9,41.0,0.093,0.903,2.08,5,1.721,0
Compliance,Q1-2024,1025,5997.82,0.707,0.937,13,45.6,0.294,0.833,1.34,4,0.813,0
Engineering,Q1-2023,1745,3749.19,0.799,0.832,35,48.6,0.26,0.678,2.16,4,5.896,0
Sales,Q2-2024,5838,5246.58,0.857,0.926,90,41.1,0.232,0.904,2.92,4,6.669,0
Legal,Q2-2023,5123,5199.98,0.769,0.901,94,42.0,0.112,0.949,1.8,1,9.335,0
Compliance,Q1-2023,3817,4545.8,0.68,0.825,72,64.2,0.198,0.835,2.1,2,12.592,0
Customer Support,Q3-2024,4065,3655.64,0.864,0.802,74,56.3,0.127,0.669,2.44,4,14.682,0
R&D,Q2-2024,1017,4946.0,0.587,0.966,15,37.2,0.205,0.931,2.2,1,0.517,0
Field Services,Q3-2023,2574,4271.66,0.809,0.756,36,49.9,0.25,0.621,2.3,7,8.795,0
Security,Q1-2023,536,5472.38,0.781,0.937,12,33.7,0.072,0.768,1.91,2,0.756,0
Data Science,Q3-2024,1545,4289.5,0.838,0.731,27,43.0,0.227,0.704,2.23,3,7.274,0
Public Relations,Q1-2024,2123,4671.99,0.84,0.837,38,45.3,0.031,0.711,1.98,2,6.183,0
Internal Audit,Q3-2023,693,3741.01,0.695,0.782,10,40.8,0.225,0.764,2.75,2,2.179,0
Business Development,Q4-2024,3156,4604.18,0.727,0.754,47,58.7,0.148,0.904,1.28,5,11.547,0
Operations,Q1-2024,311,4472.84,0.816,0.828,4,50.0,0.323,0.797,2.23,4,0.686,0
Engineering,Q2-2023,1933,3538.11,0.655,0.783,41,55.4,0.154,0.832,2.17,0,8.887,0
Data Science,Q1-2023,2812,3807.58,0.831,0.704,50,67.5,0.456,0.57,1.27,4,14.807,0
Risk Management,Q4-2023,1450,3675.39,1.0,0.805,23,58.9,0.022,0.645,2.2,3,4.482,0
DevOps,Q1-2023,4525,5264.39,0.695,0.753,68,32.7,0.159,0.974,2.78,2,16.778,0
Customer Support,Q1-2023,4076,2660.13,0.75,0.637,52,59.7,0.124,0.545,2.39,2,18.89,0
R&D,Q3-2023,671,3522.93,0.705,0.957,16,39.0,0.296,0.581,1.33,0,0.681,0
Procurement,Q1-2023,1402,4692.09,0.761,0.769,25,27.9,0.292,0.72,1.66,7,5.769,0
Field Services,Q3-2024,2471,4377.32,0.812,0.82,39,45.1,0.166,0.688,2.12,5,7.038,0
Risk Management,Q1-2023,1690,3629.12,0.783,0.854,33,54.2,0.345,0.493,1.68,5,4.831,0
Finance,Q3-2024,4062,4225.2,0.622,0.887,69,44.9,0.109,0.761,2.89,0,7.763,0
Quality Assurance,Q3-2024,3475,4217.4,0.802,0.913,58,42.3,0.09,0.783,2.0,5,5.069,0
IT,Q3-2024,2458,4928.87,0.85,0.784,49,40.3,0.141,0.779,2.55,5,10.571,0
Risk Management,Q4-2024,3691,4164.36,0.743,0.464,70,48.1,0.102,0.576,2.07,8,37.527,0
Compliance,Q4-2024,408,4664.35,0.732,0.789,19,35.9,0.058,0.659,1.9,0,4.017,0
Customer Support,Q3-2023,2532,4561.05,0.85,0.9,45,45.4,0.148,0.71,1.96,4,4.5,0
Supply Chain,Q4-2023,2768,3617.2,0.913,0.75,40,60.2,0.204,0.587,1.92,6,9.989,0
