project_id,industry,region,project_type,contract_type,is_union_site,project_size_usd,scope_complexity,close_time_days,prior_relationship_years,competition_count,discount_pct,pm_experience_years,safety_incidents,on_time_milestones_pct,customer_satisfaction,cost_overrun_pct,time_overrun_pct,payment_delay_days,n_change_orders,next12mo_spend,retained_12mo
10022,Logistics,South,Retrofit,GMP,1,11018000.0,3.0,93.0,11.3,5,3.6,7.2,1,100.0,3.3,0.025412857717024978,0.028612857717024973,8.0,2,568600.0,0
10023,Pharma,West,NewBuild,GMP,1,9839000.0,4.5,40.0,2.8,4,2.9,5.4,0,100.0,4.6,0.10268937176917724,0.10658937176917725,8.0,4,405600.0,1
10024,Pharma,South,Expansion,FixedBid,1,13425000.0,3.6,172.0,0.9,2,6.0,,0,74.9,4.0,0.060429029121452975,0.07558902912145297,32.0,4,555400.0,1
10025,Food&Beverage,South,NewBuild,FixedBid,1,5381000.0,3.7,89.0,2.2,3,5.6,7.4,0,93.0,3.9,0.035093476085549094,0.0411934760855491,20.0,5,379200.0,1
10026,Healthcare,Midwest,TenantImprovement,FixedBid,0,6871000.0,1.9,103.0,0.8,3,6.9,4.9,0,95.4,3.0,-0.024846489759267745,-0.03168648975926775,55.0,2,376400.0,1
10027,Logistics,West,Retrofit,CostPlus,0,8115000.0,4.1,104.0,5.3,3,3.2,8.0,0,100.0,3.9,0.06331208913849101,0.06781208913849103,24.0,5,528800.0,1
10028,Manufacturing,Midwest,Retrofit,GMP,1,6036000.0,2.9,77.0,1.6,3,7.0,6.9,0,77.1,2.6,0.0435297782532929,0.0546697782532929,28.0,4,626900.0,0
10029,Manufacturing,Northeast,NewBuild,GMP,0,3923000.0,4.1,65.0,1.6,5,0.6,5.6,0,,3.5,-0.06725148399357511,-0.06515148399357511,0.0,6,581800.0,1
10030,Technology,Midwest,NewBuild,FixedBid,0,4131000.0,2.4,164.0,11.9,1,0.5,14.4,1,86.2,3.5,-8.879776324816416e-05,0.015591202236751832,18.0,1,690300.0,1
10031,Food&Beverage,Northeast,Expansion,GMP,0,2802000.0,3.4,125.0,1.2,2,1.0,9.7,0,71.1,4.1,-0.010585451652312205,0.0094545483476878,28.0,6,490900.0,0
10032,Pharma,Northeast,Retrofit,FixedBid,0,7552000.0,3.6,119.0,1.0,2,4.0,6.5,0,84.6,5.0,-0.015906879055619598,-0.00616687905561959,17.0,2,548900.0,1
10033,Healthcare,Northeast,Retrofit,GMP,0,4999000.0,3.0,110.0,1.4,4,7.0,8.6,4,86.0,4.3,0.14211750653200014,0.17011750653200014,22.0,3,655500.0,0
10034,Logistics,Midwest,TenantImprovement,FixedBid,0,3171000.0,3.6,55.0,6.2,2,2.5,3.9,1,73.3,4.9,-0.022220237364469743,-0.0033002373644697375,31.0,1,488400.0,0
10035,Logistics,South,TenantImprovement,CostPlus,0,3173000.0,2.9,135.0,4.8,0,2.8,6.3,1,89.7,4.4,-0.09193383422170014,-0.08395383422170014,51.0,1,663600.0,1
10036,Healthcare,Midwest,TenantImprovement,GMP,1,2047000.0,2.6,60.0,2.2,4,3.5,6.7,0,97.5,4.7,0.03700013577700982,0.03420013577700982,30.0,2,714800.0,0
10037,Manufacturing,Midwest,NewBuild,FixedBid,1,11794000.0,4.8,100.0,2.0,2,5.4,3.0,3,88.9,5.0,-0.0034275699587722587,0.021232430041227747,48.0,7,448000.0,0
10038,Logistics,West,Retrofit,CostPlus,1,5740000.0,4.2,33.0,4.6,4,2.8,9.5,0,79.5,3.4,-0.10845601545709944,-0.08965601545709945,33.0,4,438600.0,1
10039,Healthcare,South,TenantImprovement,GMP,1,2703000.0,2.4,19.0,3.9,4,2.7,6.0,0,84.2,3.3,0.03957873829929758,0.04305873829929758,49.0,1,445900.0,1
10040,Technology,South,Retrofit,FixedBid,1,10292000.0,3.8,101.0,3.0,3,,6.6,0,85.9,4.4,0.028510557539374173,0.03857055753937417,14.0,4,398000.0,0
10041,Logistics,Midwest,NewBuild,FixedBid,0,3442000.0,2.5,62.0,4.9,0,2.6,5.7,0,88.6,3.9,0.01239037391581432,0.013430373915814321,21.0,1,477000.0,1
10042,Food&Beverage,West,Expansion,CostPlus,1,1749000.0,2.0,20.0,1.3,1,6.9,19.8,0,99.3,4.1,-0.08076993023457354,-0.07454993023457356,17.0,2,691300.0,1
10043,Technology,Midwest,Retrofit,FixedBid,1,12200000.0,4.2,109.0,1.7,2,4.2,5.3,1,89.3,3.7,-0.05120842921263136,-0.03748842921263135,34.0,4,421100.0,0
10044,Healthcare,Midwest,Retrofit,FixedBid,1,3507000.0,1.5,164.0,5.1,1,2.2,0.0,2,69.2,3.5,-0.09800510495323675,-0.08602510495323674,37.0,1,750600.0,1
10045,Food&Beverage,West,TenantImprovement,CostPlus,0,3886000.0,4.1,139.0,4.2,4,7.1,1.6,0,79.3,5.0,0.01234677703981012,0.02286677703981013,28.0,2,485200.0,1
10046,Food&Beverage,South,Expansion,GMP,0,5570000.0,2.9,81.0,3.4,6,2.5,11.0,0,88.0,3.1,-0.10306820005426293,-0.09436820005426293,38.0,5,841600.0,0
10047,Logistics,South,Retrofit,FixedBid,1,13444000.0,3.0,90.0,11.7,2,7.5,13.3,0,99.5,4.4,0.00819370349319573,0.012793703493195729,14.0,3,518200.0,1
10048,Healthcare,South,Retrofit,FixedBid,1,5477000.0,3.6,121.0,5.7,3,7.5,5.3,1,100.0,4.3,-0.004672055662409324,-0.0003720556624093197,43.0,4,539400.0,1
10049,Technology,South,Retrofit,GMP,1,2065000.0,3.8,129.0,2.2,4,4.1,13.1,0,100.0,2.8,0.023852523315571375,0.03195252331557138,47.0,6,387200.0,0
10050,Manufacturing,Midwest,NewBuild,CostPlus,1,8328000.0,2.4,78.0,1.8,4,0.3,11.0,3,87.6,3.3,0.026860368975850153,0.048300368975850154,40.0,2,428000.0,1
10051,Healthcare,Midwest,Expansion,GMP,0,3656000.0,3.9,91.0,4.3,4,9.7,,1,95.2,3.4,0.06187596880971688,0.07245596880971689,31.0,6,707300.0,0
10052,Manufacturing,Midwest,Expansion,FixedBid,0,24406000.0,3.3,101.0,7.2,7,5.0,7.0,0,68.5,4.3,0.0369637769102299,0.0553637769102299,41.0,3,662300.0,0
10053,Food&Beverage,Northeast,NewBuild,GMP,1,5385000.0,1.9,109.0,0.6,0,3.2,8.7,2,91.2,3.6,-0.03577304135454716,-0.026293041354547166,6.0,1,669100.0,1
10054,Technology,West,NewBuild,CostPlus,1,902000.0,3.0,85.0,4.1,3,6.4,11.5,0,73.1,3.8,0.0013778486643681292,0.02001784866436813,29.0,2,371100.0,1
10055,Technology,Midwest,TenantImprovement,FixedBid,0,7173000.0,4.6,86.0,2.6,6,5.8,9.6,0,,2.9,0.05492056898941221,0.07240056898941222,34.0,2,611900.0,0
10056,Food&Beverage,South,NewBuild,GMP,0,25538000.0,4.9,138.0,3.8,1,7.3,5.3,2,100.0,5.0,-0.06829999999999999,-0.05249999999999998,0.0,4,455600.0,0
10057,Logistics,West,Retrofit,CostPlus,0,19015000.0,3.9,132.0,0.9,4,2.3,,0,89.6,3.9,0.06495680221016431,0.07399680221016432,38.0,5,378000.0,1
10058,Energy,West,Retrofit,FixedBid,0,23319000.0,2.0,107.0,7.2,1,4.8,15.9,1,75.6,4.2,-0.020404046264582414,0.0011359537354175874,0.0,6,663900.0,1
10059,Manufacturing,Midwest,Expansion,FixedBid,1,2384000.0,3.7,150.0,8.5,3,1.0,9.0,0,90.9,3.5,0.051483420567049965,0.060443420567049974,19.0,5,570100.0,1
10060,Manufacturing,Midwest,NewBuild,CostPlus,0,11181000.0,4.1,76.0,5.3,5,,11.5,2,79.8,3.4,-0.0385790516813084,-0.008459051681308397,25.0,2,544400.0,0
10061,Technology,West,Expansion,FixedBid,1,3025000.0,3.9,147.0,9.7,1,3.9,10.2,1,74.5,5.0,0.00969587773863246,0.03569587773863246,11.0,6,740100.0,0
10062,Logistics,South,Retrofit,FixedBid,0,6449000.0,4.0,109.0,2.5,3,4.7,9.1,1,100.0,2.6,-0.04050706195959064,-0.030407061959590635,25.0,5,616000.0,1
10063,Energy,West,Expansion,FixedBid,1,1947000.0,3.6,204.0,4.0,2,3.6,8.4,1,98.8,4.1,0.07672209633490126,0.08484209633490128,30.0,3,787000.0,0
10064,Food&Beverage,West,NewBuild,FixedBid,0,3219000.0,3.1,48.0,5.4,3,3.4,11.6,0,90.1,3.1,-0.10695815794479459,-0.09791815794479458,4.0,7,383800.0,1
10065,Technology,West,Retrofit,FixedBid,1,3138000.0,2.6,66.0,4.4,3,1.8,10.9,1,81.3,3.6,-0.07290583473456247,-0.05678583473456246,33.0,4,803200.0,1
10066,Energy,Northeast,Retrofit,CostPlus,1,11060000.0,1.3,105.0,2.8,3,6.0,9.1,0,82.3,3.5,-0.022698011020961313,-0.02047801102096132,9.0,4,876500.0,0
10067,Energy,South,NewBuild,FixedBid,1,10227000.0,3.5,104.0,3.0,0,7.7,5.2,0,100.0,3.2,-0.034256217259407355,-0.03555621725940735,69.0,4,488300.0,1
10068,Healthcare,Northeast,NewBuild,FixedBid,1,6726000.0,3.4,158.0,8.0,1,2.6,9.5,2,89.7,3.9,-0.03248734597523411,-0.013807345975234106,22.0,2,396400.0,1
10069,Manufacturing,South,NewBuild,CostPlus,1,1830000.0,3.8,67.0,3.3,3,5.4,7.7,1,49.0,2.1,0.0947703600678128,0.1330703600678128,6.0,4,323600.0,0
10070,Logistics,West,Retrofit,FixedBid,1,4200000.0,1.9,122.0,7.0,2,5.1,6.8,0,100.0,3.7,0.02653982296143076,0.018839822961430754,6.0,1,496000.0,0
10071,Healthcare,South,NewBuild,CostPlus,0,2967000.0,3.8,131.0,3.2,4,4.0,18.7,1,88.2,3.8,0.0708449834778699,0.0966249834778699,52.0,4,845600.0,0
10072,Logistics,Midwest,TenantImprovement,FixedBid,0,10807000.0,5.0,115.0,6.9,4,0.2,1.8,1,90.1,2.9,0.13260967717582053,0.14634967717582054,23.0,3,536300.0,1
10073,Food&Beverage,Northeast,Retrofit,FixedBid,0,13833000.0,3.3,56.0,3.6,4,0.7,11.8,0,99.0,5.0,-0.01901054952566396,-0.014110549525663957,0.0,5,503800.0,1
10074,Healthcare,West,Expansion,FixedBid,0,12548000.0,3.1,139.0,5.1,2,2.0,4.5,1,91.6,3.5,-0.0008215082245630733,0.005218491775436932,42.0,7,477100.0,0
10075,Manufacturing,Northeast,TenantImprovement,CostPlus,1,2946000.0,3.5,133.0,2.0,2,0.0,8.5,0,95.0,3.7,-0.03886568949735219,-0.033865689497352185,15.0,4,374300.0,1
10076,Healthcare,Northeast,NewBuild,FixedBid,0,602000.0,5.0,111.0,4.0,3,7.5,18.3,0,80.9,3.5,0.05344104174011842,0.08420104174011842,41.0,5,623600.0,0
10077,Healthcare,Midwest,Expansion,GMP,0,1311000.0,2.2,97.0,2.0,2,4.9,4.2,0,71.2,3.8,-0.06515288291280937,-0.05667288291280938,41.0,3,485700.0,0
10078,Technology,Northeast,TenantImprovement,FixedBid,1,16807000.0,3.4,98.0,2.5,6,3.9,5.1,0,89.4,4.8,-0.0234146344148884,-0.018954634414888403,30.0,3,1015700.0,1
10079,Energy,Midwest,Expansion,CostPlus,0,3910000.0,2.4,87.0,2.6,4,0.0,7.9,1,100.0,5.0,0.031093030378802993,0.03199303037880299,74.0,1,644800.0,0
10080,Food&Beverage,South,Retrofit,CostPlus,0,2956000.0,2.7,112.0,2.9,6,0.0,4.6,1,78.2,4.4,0.0843177471860066,0.09649774718600661,0.0,2,625600.0,1
10081,Technology,Midwest,Retrofit,FixedBid,1,20058000.0,3.2,91.0,6.4,2,4.0,11.5,0,77.3,4.7,0.02237821779890665,0.03949821779890665,10.0,6,574800.0,1
10082,Logistics,Northeast,NewBuild,CostPlus,1,14829000.0,4.5,60.0,2.4,5,8.9,5.9,0,100.0,5.0,0.16470211056697978,0.16910211056697977,27.0,3,421500.0,1
10083,Food&Beverage,Northeast,Retrofit,FixedBid,1,5496000.0,5.0,53.0,3.7,4,2.3,10.6,2,80.5,4.1,0.03001390995770762,0.06331390995770762,72.0,5,426000.0,0
10084,Manufacturing,Midwest,TenantImprovement,FixedBid,1,4262000.0,3.6,64.0,7.0,1,6.2,2.7,0,81.1,5.0,-0.1133582247446481,-0.1053182247446481,56.0,3,411000.0,0
10085,Manufacturing,Northeast,TenantImprovement,FixedBid,1,4849000.0,2.8,98.0,5.0,0,2.8,0.8,2,81.5,4.5,0.0732239522712688,0.0851239522712688,54.0,3,718000.0,1
10086,Manufacturing,South,NewBuild,GMP,1,6464000.0,5.0,89.0,0.7,1,4.1,7.1,0,85.2,4.0,-0.0011283486852711995,0.015851651314728807,9.0,2,477300.0,1
10087,Technology,Northeast,Expansion,GMP,0,19386000.0,2.8,98.0,0.9,2,7.0,1.7,1,67.1,4.1,-0.011858456924275458,0.004581543075724545,11.0,4,724900.0,1
10088,Logistics,Midwest,NewBuild,FixedBid,1,7557000.0,2.6,108.0,4.4,2,3.1,14.1,1,79.5,2.6,-0.13498575570847865,-0.11458575570847866,3.0,0,539100.0,0
10089,Manufacturing,Midwest,TenantImprovement,CostPlus,0,9634000.0,1.4,68.0,2.3,0,2.3,1.9,1,88.8,4.1,-0.09784471731420785,-0.10122471731420786,5.0,0,512600.0,1
10090,Energy,Midwest,NewBuild,GMP,0,13734000.0,4.6,141.0,0.8,3,7.5,3.8,1,88.7,2.8,-0.04595591916054656,-0.03137591916054656,53.0,3,380900.0,0
10091,Manufacturing,Northeast,TenantImprovement,FixedBid,1,2114000.0,4.2,81.0,2.2,3,4.1,9.7,0,99.9,2.8,-0.004101228439421248,0.0026587715605787543,20.0,4,539100.0,1
10092,Technology,Northeast,Expansion,GMP,1,9859000.0,5.0,75.0,4.5,3,6.7,5.7,1,100.0,4.0,0.041681395428193484,0.0533813954281935,25.0,4,545100.0,1
10093,Logistics,West,NewBuild,CostPlus,0,4258000.0,1.8,107.0,2.6,0,2.3,1.9,0,100.0,3.1,-0.03160277119162537,-0.04470277119162538,39.0,1,639800.0,0
10094,Logistics,Northeast,NewBuild,GMP,1,720000.0,4.7,26.0,3.5,1,7.5,16.2,1,97.0,3.9,0.13658060750486228,0.15908060750486225,0.0,3,415500.0,1
10095,Healthcare,South,Expansion,GMP,1,982000.0,3.3,62.0,2.8,4,4.7,4.0,1,84.2,4.0,0.06738343854284731,0.0783634385428473,29.0,5,574100.0,1
10096,Technology,Midwest,NewBuild,FixedBid,1,2387000.0,4.0,124.0,1.9,1,5.1,7.2,2,78.5,4.0,-0.06075187453473367,-0.034651874534733666,1.0,2,801100.0,1
10097,Logistics,Midwest,Retrofit,FixedBid,0,8244000.0,1.6,29.0,4.0,4,4.3,7.2,0,86.2,3.3,-0.0066389195071000304,-0.007158919507100039,19.0,1,563300.0,1
10098,Manufacturing,Midwest,TenantImprovement,CostPlus,1,5903000.0,4.7,129.0,0.7,3,2.7,10.8,1,93.0,4.5,0.06302282882090218,0.0825228288209022,16.0,6,626500.0,1
10099,Manufacturing,West,Retrofit,FixedBid,0,6246000.0,4.0,143.0,1.7,3,4.0,9.8,0,95.9,3.8,0.013352149757473132,0.021612149757473133,13.0,8,612000.0,1
10100,Pharma,West,Retrofit,FixedBid,1,25668000.0,3.2,77.0,5.7,1,2.9,4.7,1,93.5,4.2,0.0147110329043942,0.020311032904394205,30.0,3,1008300.0,1
10101,Pharma,Midwest,Retrofit,GMP,0,1953000.0,3.8,100.0,0.9,0,6.4,6.7,0,84.5,3.1,0.03161866996603785,0.04261866996603785,31.0,4,541900.0,0
10102,Technology,Midwest,NewBuild,FixedBid,1,5273000.0,2.4,129.0,3.4,6,3.5,7.1,1,95.4,3.8,-0.058532075370949586,-0.055672075370949585,18.0,3,647600.0,1
10103,Healthcare,Midwest,TenantImprovement,CostPlus,0,6876000.0,2.6,74.0,2.4,5,0.3,11.0,0,100.0,4.7,-0.035764560026724866,-0.035764560026724866,31.0,1,549800.0,1
10104,Pharma,Midwest,NewBuild,GMP,0,2991000.0,2.7,120.0,2.3,3,0.0,3.3,0,96.6,4.6,0.07057573867242839,0.06541573867242839,11.0,1,457300.0,1
10105,Food&Beverage,South,NewBuild,FixedBid,0,5513000.0,1.3,67.0,6.0,4,0.0,16.1,0,85.6,3.3,-0.11637340490978734,-0.10913340490978735,34.0,4,392700.0,1
10106,Technology,Midwest,NewBuild,CostPlus,1,1499000.0,4.1,73.0,6.8,3,5.5,5.0,2,76.0,3.5,-0.014092158332256698,0.01180784166774331,21.0,2,717700.0,0
10107,Logistics,Midwest,TenantImprovement,GMP,0,16650000.0,4.4,62.0,1.4,2,1.1,8.0,0,75.7,3.2,0.029680485648830447,0.050260485648830455,17.0,2,402200.0,1
10108,Healthcare,West,NewBuild,CostPlus,1,3124000.0,2.5,102.0,3.0,1,4.8,3.4,0,77.8,3.4,-0.09753965197294434,-0.09231965197294434,5.0,4,625900.0,1
10109,Manufacturing,Northeast,TenantImprovement,FixedBid,0,27374000.0,3.5,131.0,0.5,5,4.3,2.8,0,89.1,2.9,-0.10839481850180371,-0.1055548185018037,15.0,3,603000.0,0
10110,Pharma,Midwest,Expansion,FixedBid,0,5251000.0,2.9,84.0,5.8,5,,,1,92.2,3.8,-0.016612702395237152,-0.011932702395237152,62.0,4,703000.0,1
10111,Logistics,South,Expansion,GMP,1,12267000.0,3.5,46.0,3.2,2,5.1,4.1,0,69.0,4.3,0.11230353191947468,0.12850353191947467,29.0,4,469900.0,0
10112,Healthcare,Northeast,TenantImprovement,FixedBid,1,5165000.0,2.6,52.0,0.9,2,,6.3,2,80.0,3.4,0.00899771328861749,0.02629771328861749,3.0,1,437200.0,1
10113,Healthcare,Northeast,TenantImprovement,CostPlus,0,5259000.0,2.3,104.0,1.8,2,0.0,4.1,1,88.9,3.8,0.002400396611374936,0.00566039661137493,44.0,4,588100.0,0
10114,Energy,Northeast,TenantImprovement,FixedBid,0,3378000.0,4.3,155.0,1.3,3,3.2,10.8,0,75.2,3.7,-0.12091038507057879,-0.09773038507057878,10.0,4,501900.0,0
10115,Manufacturing,West,NewBuild,FixedBid,0,5929000.0,3.1,104.0,1.7,2,5.1,4.9,0,91.2,4.6,0.028768784470866296,0.030448784470866304,32.0,3,408600.0,1
10116,Food&Beverage,Northeast,Expansion,GMP,1,6951000.0,5.0,76.0,0.6,3,8.1,4.4,2,82.3,3.5,0.09213561029168543,0.11815561029168543,17.0,4,806100.0,0
10117,Food&Beverage,Northeast,Retrofit,CostPlus,1,2878000.0,3.2,117.0,8.0,7,8.2,,1,77.3,3.5,-0.031944037962754815,-0.014924037962754808,49.0,3,424200.0,0
10118,Technology,Northeast,Retrofit,GMP,0,4877000.0,2.3,82.0,1.4,3,0.6,12.0,0,86.6,3.3,-0.020396467001833826,-0.012856467001833826,12.0,1,424600.0,1
10119,Logistics,Northeast,TenantImprovement,FixedBid,1,3308000.0,4.4,77.0,3.4,2,3.1,8.9,0,90.7,3.1,0.04500851320105721,0.05748851320105722,55.0,1,483900.0,1
10120,Technology,South,TenantImprovement,CostPlus,0,33927000.0,3.8,56.0,4.5,0,0.1,7.6,0,75.8,4.3,-0.0577641549850555,-0.04064415498505549,2.0,1,842700.0,0
10121,Energy,Midwest,Expansion,GMP,0,5016000.0,3.9,139.0,6.8,5,7.8,2.3,3,83.1,3.8,0.09292976087459368,0.11586976087459368,24.0,4,316200.0,0
10122,Technology,South,Retrofit,FixedBid,1,18554000.0,4.4,10.0,3.4,3,6.5,3.4,0,91.6,3.9,0.12239947957690085,0.12883947957690087,59.0,4,751700.0,0
10123,Manufacturing,South,Retrofit,FixedBid,1,4609000.0,2.5,118.0,2.7,4,4.9,2.9,1,76.9,4.8,-0.01885590328314616,-0.008595903283146165,28.0,3,434200.0,0
10124,Logistics,West,Retrofit,GMP,0,6632000.0,3.1,74.0,3.5,1,4.4,13.2,0,66.1,4.8,-0.07093159417059755,-0.04589159417059755,68.0,3,597300.0,0
10125,Manufacturing,Northeast,Retrofit,FixedBid,1,1873000.0,3.0,76.0,1.4,1,7.5,10.1,1,67.6,2.7,-0.007530604886120987,0.018009395113879015,20.0,4,411500.0,0
10126,Energy,West,Retrofit,CostPlus,0,3769000.0,1.9,149.0,1.5,4,7.0,4.6,1,81.0,4.4,0.037222923654510014,0.04372292365451001,32.0,3,875900.0,0
10127,Healthcare,South,NewBuild,GMP,1,6378000.0,2.9,65.0,2.7,4,6.9,5.7,0,70.2,4.1,-0.09454231875080905,-0.08046231875080906,59.0,2,550700.0,0
10128,Manufacturing,Northeast,NewBuild,FixedBid,0,19169000.0,4.5,66.0,0.4,4,5.1,4.7,0,,3.6,0.08079907811489268,0.09491907811489268,0.0,2,460200.0,0
10129,Manufacturing,South,Expansion,FixedBid,0,6437000.0,3.4,85.0,2.0,6,3.1,4.5,0,100.0,4.1,-0.03996101209643367,-0.042461012096433666,0.0,3,500300.0,1
10130,Energy,West,Retrofit,FixedBid,0,16305000.0,1.9,104.0,2.3,4,5.9,9.8,0,69.5,2.7,-0.02585558430341838,-0.012255584303418388,8.0,3,555200.0,0
10131,Manufacturing,Midwest,TenantImprovement,FixedBid,1,8999000.0,1.6,75.0,10.6,4,6.0,6.8,0,82.6,4.9,-0.08830318925318945,-0.08706318925318945,37.0,6,635600.0,1
10132,Pharma,West,Expansion,FixedBid,1,19814000.0,4.9,35.0,7.4,3,3.5,16.3,1,100.0,4.3,0.016008813144290736,0.03780881314429075,0.0,4,711100.0,0
10133,Energy,Midwest,NewBuild,CostPlus,0,5141000.0,3.1,60.0,4.5,1,3.1,13.0,0,90.9,3.3,0.09661664413645335,0.10657664413645335,41.0,2,528600.0,0
10134,Healthcare,South,NewBuild,FixedBid,1,36476000.0,2.6,135.0,5.9,6,6.8,13.2,0,81.6,3.5,-0.12383606133734443,-0.11059606133734443,30.0,3,413300.0,1
10135,Energy,West,NewBuild,CostPlus,1,3655000.0,2.9,93.0,1.5,4,8.2,10.7,1,84.1,2.7,0.0352756324281881,0.05101563242818811,67.0,3,447600.0,1
10136,Manufacturing,Midwest,TenantImprovement,FixedBid,0,2919000.0,1.7,106.0,3.6,3,2.1,6.3,0,91.2,3.7,0.07589270876449009,0.07197270876449008,49.0,0,609800.0,1
10137,Pharma,West,NewBuild,FixedBid,1,2047000.0,4.6,81.0,5.4,4,3.3,10.4,0,100.0,3.6,0.08558653485309757,0.09498653485309759,36.0,4,462400.0,1
10138,Logistics,Midwest,Retrofit,FixedBid,1,34789000.0,2.8,67.0,1.5,5,4.9,6.6,0,79.6,3.0,-0.10577679133274275,-0.09693679133274274,48.0,1,621100.0,0
10139,Food&Beverage,West,TenantImprovement,GMP,0,10382000.0,4.6,149.0,0.9,2,5.2,14.5,1,76.9,4.4,-0.04121063562407841,-0.008850635624078406,34.0,3,541000.0,1
10140,Manufacturing,South,TenantImprovement,CostPlus,0,4126000.0,3.3,83.0,4.2,3,,9.6,0,69.5,4.8,-0.05321377636524811,-0.03281377636524811,14.0,4,520800.0,1
10141,Logistics,Northeast,NewBuild,FixedBid,0,14639000.0,4.6,74.0,1.0,4,8.7,9.0,1,87.2,3.9,0.06505355380639122,0.08573355380639122,5.0,1,733200.0,1
10142,Energy,Midwest,NewBuild,GMP,1,9343000.0,3.5,128.0,4.8,0,5.1,8.5,1,69.1,3.7,0.037315988586233646,0.06285598858623366,16.0,3,358200.0,1
